timestamp,temperature_C,humidity_%,wind_speed_kmph,pressure_hPa,visibility_km
2023-03-01 00:00:00,16.6,74.4,5.7,1012.5,9.5
2023-03-01 01:00:00,16.2,78.5,5.0,1012.1,10.3
2023-03-01 02:00:00,15.3,73.3,4.7,,11.1
2023-03-01 03:00:00,15.8,72.4,1.3,1005.0,8.9
2023-03-01 04:00:00,20.9,70.6,6.8,1016.3,9.8
2023-03-01 05:00:00,20.8,63.7,,1017.9,10.8
2023-03-01 06:00:00,22.8,67.0,11.3,1002.3,9.0
2023-03-01 07:00:00,22.5,63.7,12.3,1018.6,10.9
2023-03-01 08:00:00,21.2,65.3,13.8,1017.3,10.7
2023-03-01 09:00:00,28.2,64.5,10.8,1009.6,11.0
2023-03-01 10:00:00,,66.3,13.5,1013.7,11.5
2023-03-01 11:00:00,25.6,54.2,17.6,1012.5,10.2
2023-03-01 12:00:00,25.4,62.2,16.0,1012.0,9.3
2023-03-01 13:00:00,23.4,61.7,16.5,1022.9,10.6
2023-03-01 14:00:00,27.6,60.5,12.8,1007.8,10.7
2023-03-01 15:00:00,23.8,50.7,13.8,1009.8,9.9
2023-03-01 16:00:00,22.0,,14.1,1014.8,9.1
2023-03-01 17:00:00,23.7,62.5,,1018.2,10.8
2023-03-01 18:00:00,23.1,72.4,8.1,1011.4,10.9
2023-03-01 19:00:00,22.1,62.9,8.0,1012.6,
2023-03-01 20:00:00,18.2,60.0,7.3,1005.7,11.5
2023-03-01 21:00:00,19.4,,6.2,1009.4,10.5
2023-03-01 22:00:00,19.7,75.1,4.3,1012.5,9.6
2023-03-01 23:00:00,14.7,76.3,4.6,1011.6,9.5
2023-03-02 00:00:00,15.9,83.2,4.4,1007.1,11.4
2023-03-02 01:00:00,15.7,70.7,7.7,1011.1,10.5
2023-03-02 02:00:00,17.6,76.5,5.3,1022.4,9.9
2023-03-02 03:00:00,20.0,65.9,3.2,1017.8,11.8
2023-03-02 04:00:00,22.0,75.9,6.2,999.8,10.7
2023-03-02 05:00:00,21.2,,9.7,1010.7,9.8
