model_id,mean_per_class_error,logloss,rmse,mse
GBM_grid_1_AutoML_3_20260728_204205_model_3,0.0128205128205128,0.0652599032657465,0.1346593240420457,0.0181331335514606
StackedEnsemble_AllModels_1_AutoML_3_20260728_204205,0.0128205128205128,0.0606573622080423,0.122336669402015,0.0149662606803779
GBM_4_AutoML_3_20260728_204205,0.0205724508050089,0.0808015398391267,0.1508824031354366,0.0227654995759244
DRF_1_AutoML_3_20260728_204205,0.0205724508050089,0.1440681479932035,0.1856146092241889,0.0344527831574483
XRT_1_AutoML_3_20260728_204205,0.0205724508050089,0.1623947630061275,0.2018998519236076,0.0407635502067747
GBM_3_AutoML_3_20260728_204205,0.0205724508050089,0.0818279636309485,0.1520286670247295,0.023112715597316
GBM_2_AutoML_3_20260728_204205,0.0205724508050089,0.0668831719308822,0.1400756873996105,0.0196211982004734
StackedEnsemble_BestOfFamily_1_AutoML_3_20260728_204205,0.0239661159633799,0.0631768566164039,0.1254162674727333,0.0157292401467921
GBM_5_AutoML_3_20260728_204205,0.0269827072152653,0.0913068549621711,0.1621099081288505,0.0262796223135443
GBM_grid_1_AutoML_3_20260728_204205_model_1,0.0269827072152653,0.0877924599149701,0.1627381781215325,0.0264837146183156
GBM_grid_1_AutoML_3_20260728_204205_model_2,0.028324388789505,0.0864971624138879,0.1586771545961899,0.0251784393907431
GLM_1_AutoML_3_20260728_204205,0.0290346907993966,0.0625517682796735,0.1302103907695332,0.0169547458643545
DeepLearning_grid_1_AutoML_3_20260728_204205_model_1,0.0290346907993966,0.0815685276729099,0.1494130447163631,0.0223242579314139
DeepLearning_grid_1_AutoML_3_20260728_204205_model_2,0.0354449472096531,0.1198159834581079,0.1865463248399309,0.034799531311285
DeepLearning_grid_2_AutoML_3_20260728_204205_model_1,0.0388386123680241,0.1173233780947047,0.1827753293911813,0.0334068210340548
DeepLearning_grid_3_AutoML_3_20260728_204205_model_1,0.0610859728506787,0.1868687035728483,0.2345166904961105,0.0549980781212484
DeepLearning_1_AutoML_3_20260728_204205,0.0708898944193062,0.1833584588076328,0.2354141263007152,0.0554198108619291
